2025-09-28 12:46:04,947 - aiogram.dispatcher - INFO - Polling stopped
2025-09-28 12:46:05,200 - __main__ - INFO - Бот остановлен!
2025-09-28 12:46:05,648 - scheduler - INFO - Планировщик уведомлений остановлен
2025-09-28 12:46:05,648 - __main__ - INFO - Планировщик уведомлений остановлен
2025-09-28 12:46:05,651 - aiogram.dispatcher - INFO - Polling stopped for bot @DestinyDecoderBot id=7651594720 - 'ezoteric-bot-[DEV]'
2025-09-28 12:46:13,308 - __main__ - INFO - Обработчики зарегистрированы
2025-09-28 12:46:13,757 - __main__ - INFO - Бот запущен!
2025-09-28 12:46:14,198 - __main__ - INFO - Планировщик уведомлений запущен
2025-09-28 12:46:14,199 - storage - INFO - Нет неактивных пользователей для удаления
2025-09-28 12:46:14,199 - __main__ - INFO - Очищено None старых записей
2025-09-28 12:46:14,200 - aiogram.dispatcher - INFO - Start polling
2025-09-28 12:46:14,201 - scheduler - INFO - Планировщик уведомлений запущен (время отправки: 9:00)
2025-09-28 12:46:14,393 - aiogram.dispatcher - INFO - Run polling for bot @DestinyDecoderBot id=7651594720 - 'ezoteric-bot-[DEV]'
2025-09-28 13:00:46,955 - aiogram.dispatcher - INFO - Polling stopped
2025-09-28 13:00:47,219 - __main__ - INFO - Бот остановлен!
2025-09-28 13:00:47,636 - scheduler - INFO - Планировщик уведомлений остановлен
2025-09-28 13:00:47,636 - __main__ - INFO - Планировщик уведомлений остановлен
2025-09-28 13:00:47,638 - aiogram.dispatcher - INFO - Polling stopped for bot @DestinyDecoderBot id=7651594720 - 'ezoteric-bot-[DEV]'
2025-09-28 15:38:36,670 - __main__ - INFO - Обработчики зарегистрированы
2025-09-28 15:38:36,914 - __main__ - INFO - Бот запущен!
2025-09-28 15:38:37,163 - __main__ - INFO - Планировщик уведомлений запущен
2025-09-28 15:38:37,163 - __main__ - ERROR - Ошибка при запуске бота: 'UserStorage' object has no attribute 'cleanup_old_data'
2025-09-28 15:38:37,164 - aiogram.dispatcher - INFO - Start polling
2025-09-28 15:38:37,164 - scheduler - INFO - Планировщик уведомлений запущен (время отправки: 9:00)
2025-09-28 15:38:37,328 - aiogram.dispatcher - INFO - Run polling for bot @DestinyDecoderBot id=7651594720 - 'ezoteric-bot-[DEV]'
2025-09-28 15:38:47,102 - aiogram.event - INFO - Update id=221272103 is handled. Duration 264 ms by bot id=7651594720
2025-09-28 15:38:53,203 - decorators - ERROR - Ошибка в handle_birth_date: SecurityValidator.rate_limit_check() takes 2 positional arguments but 3 were given
Traceback (most recent call last):
  File "C:\Users\User\Desktop\ezoteric_bot\app\decorators.py", line 19, in wrapper
    return await func(*args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\User\Desktop\ezoteric_bot\app\handlers\handlers.py", line 138, in handle_birth_date
    if not security_validator.rate_limit_check(user_id, "birth_date"):
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
TypeError: SecurityValidator.rate_limit_check() takes 2 positional arguments but 3 were given
2025-09-28 15:38:53,276 - aiogram.event - INFO - Update id=221272104 is handled. Duration 78 ms by bot id=7651594720
2025-09-28 15:38:56,599 - aiogram.dispatcher - INFO - Polling stopped
2025-09-28 15:38:56,867 - __main__ - INFO - Бот остановлен!
2025-09-28 15:38:57,108 - scheduler - INFO - Планировщик уведомлений остановлен
2025-09-28 15:38:57,108 - __main__ - INFO - Планировщик уведомлений остановлен
2025-09-28 15:38:57,110 - aiogram.dispatcher - INFO - Polling stopped for bot @DestinyDecoderBot id=7651594720 - 'ezoteric-bot-[DEV]'
2025-09-28 15:40:56,420 - __main__ - INFO - Обработчики зарегистрированы
2025-09-28 15:40:56,659 - __main__ - INFO - Бот запущен!
2025-09-28 15:40:56,904 - __main__ - INFO - Планировщик уведомлений запущен
2025-09-28 15:40:56,904 - __main__ - ERROR - Ошибка при запуске бота: 'UserStorage' object has no attribute 'cleanup_old_data'
2025-09-28 15:40:56,905 - aiogram.dispatcher - INFO - Start polling
2025-09-28 15:40:56,905 - scheduler - INFO - Планировщик уведомлений запущен (время отправки: 9:00)
2025-09-28 15:40:57,062 - aiogram.dispatcher - INFO - Run polling for bot @DestinyDecoderBot id=7651594720 - 'ezoteric-bot-[DEV]'
2025-09-28 15:41:53,498 - aiogram.event - INFO - Update id=221272105 is handled. Duration 405 ms by bot id=7651594720
2025-09-28 15:41:54,817 - aiogram.event - INFO - Update id=221272106 is handled. Duration 62 ms by bot id=7651594720
2025-09-28 15:42:02,598 - decorators - ERROR - Ошибка в handle_birth_date: 'UserStorage' object has no attribute 'set_birth_date'
Traceback (most recent call last):
  File "C:\Users\User\Desktop\ezoteric_bot\app\decorators.py", line 19, in wrapper
    return await func(*args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\User\Desktop\ezoteric_bot\app\handlers\handlers.py", line 166, in handle_birth_date
    user_storage.set_birth_date(user_id, birth_date)
    ^^^^^^^^^^^^^^^^^^^^^^^^^^^
AttributeError: 'UserStorage' object has no attribute 'set_birth_date'
2025-09-28 15:42:02,883 - aiogram.event - INFO - Update id=221272107 is handled. Duration 296 ms by bot id=7651594720
2025-09-28 15:43:17,962 - aiogram.dispatcher - INFO - Polling stopped
2025-09-28 15:43:18,227 - __main__ - INFO - Бот остановлен!
2025-09-28 15:43:18,465 - scheduler - INFO - Планировщик уведомлений остановлен
2025-09-28 15:43:18,466 - __main__ - INFO - Планировщик уведомлений остановлен
2025-09-28 15:43:18,467 - aiogram.dispatcher - INFO - Polling stopped for bot @DestinyDecoderBot id=7651594720 - 'ezoteric-bot-[DEV]'
2025-09-28 15:43:20,833 - __main__ - INFO - Обработчики зарегистрированы
2025-09-28 15:43:21,103 - __main__ - INFO - Бот запущен!
2025-09-28 15:43:21,367 - __main__ - INFO - Планировщик уведомлений запущен
2025-09-28 15:43:21,368 - __main__ - ERROR - Ошибка при запуске бота: 'UserStorage' object has no attribute 'cleanup_old_data'
2025-09-28 15:43:21,368 - aiogram.dispatcher - INFO - Start polling
2025-09-28 15:43:21,369 - scheduler - INFO - Планировщик уведомлений запущен (время отправки: 9:00)
2025-09-28 15:43:21,533 - aiogram.dispatcher - INFO - Run polling for bot @DestinyDecoderBot id=7651594720 - 'ezoteric-bot-[DEV]'
2025-09-28 15:43:22,870 - aiogram.event - INFO - Update id=221272108 is handled. Duration 375 ms by bot id=7651594720
2025-09-28 15:43:24,594 - aiogram.event - INFO - Update id=221272109 is handled. Duration 172 ms by bot id=7651594720
2025-09-28 15:43:27,939 - aiogram.event - INFO - Update id=221272110 is handled. Duration 92 ms by bot id=7651594720
2025-09-28 15:45:28,253 - aiogram.dispatcher - INFO - Polling stopped
2025-09-28 15:45:28,511 - __main__ - INFO - Бот остановлен!
2025-09-28 15:45:28,743 - scheduler - INFO - Планировщик уведомлений остановлен
2025-09-28 15:45:28,743 - __main__ - INFO - Планировщик уведомлений остановлен
2025-09-28 15:45:28,745 - aiogram.dispatcher - INFO - Polling stopped for bot @DestinyDecoderBot id=7651594720 - 'ezoteric-bot-[DEV]'
2025-09-28 15:45:31,426 - __main__ - INFO - Обработчики зарегистрированы
2025-09-28 15:45:31,678 - __main__ - INFO - Бот запущен!
2025-09-28 15:45:31,927 - __main__ - INFO - Планировщик уведомлений запущен
2025-09-28 15:45:31,927 - __main__ - ERROR - Ошибка при запуске бота: 'UserStorage' object has no attribute 'cleanup_old_data'
2025-09-28 15:45:31,928 - aiogram.dispatcher - INFO - Start polling
2025-09-28 15:45:31,928 - scheduler - INFO - Планировщик уведомлений запущен (время отправки: 9:00)
2025-09-28 15:45:32,089 - aiogram.dispatcher - INFO - Run polling for bot @DestinyDecoderBot id=7651594720 - 'ezoteric-bot-[DEV]'
2025-09-28 15:45:46,670 - aiogram.event - INFO - Update id=221272111 is handled. Duration 343 ms by bot id=7651594720
2025-09-28 15:45:48,409 - aiogram.event - INFO - Update id=221272112 is handled. Duration 62 ms by bot id=7651594720
2025-09-28 15:49:23,215 - aiogram.dispatcher - INFO - Polling stopped
2025-09-28 15:49:23,474 - __main__ - INFO - Бот остановлен!
2025-09-28 15:49:23,716 - scheduler - INFO - Планировщик уведомлений остановлен
2025-09-28 15:49:23,717 - __main__ - INFO - Планировщик уведомлений остановлен
2025-09-28 15:49:23,718 - aiogram.dispatcher - INFO - Polling stopped for bot @DestinyDecoderBot id=7651594720 - 'ezoteric-bot-[DEV]'
2025-09-28 15:49:45,989 - __main__ - INFO - Обработчики зарегистрированы
2025-09-28 15:49:46,232 - __main__ - INFO - Бот запущен!
2025-09-28 15:49:46,486 - __main__ - INFO - Планировщик уведомлений запущен
2025-09-28 15:49:46,486 - __main__ - ERROR - Ошибка при запуске бота: 'UserStorage' object has no attribute 'cleanup_old_data'
2025-09-28 15:49:46,487 - aiogram.dispatcher - INFO - Start polling
2025-09-28 15:49:46,487 - scheduler - INFO - Планировщик уведомлений запущен (время отправки: 9:00)
2025-09-28 15:49:46,642 - aiogram.dispatcher - INFO - Run polling for bot @DestinyDecoderBot id=7651594720 - 'ezoteric-bot-[DEV]'
2025-09-28 15:49:49,779 - aiogram.event - INFO - Update id=221272113 is handled. Duration 219 ms by bot id=7651594720
2025-09-28 15:49:57,677 - aiogram.event - INFO - Update id=221272114 is handled. Duration 202 ms by bot id=7651594720
2025-09-28 15:50:00,174 - aiogram.event - INFO - Update id=221272115 is handled. Duration 77 ms by bot id=7651594720
2025-09-28 15:51:14,226 - aiogram.dispatcher - INFO - Polling stopped
2025-09-28 15:51:14,489 - __main__ - INFO - Бот остановлен!
2025-09-28 15:51:14,725 - scheduler - INFO - Планировщик уведомлений остановлен
2025-09-28 15:51:14,725 - __main__ - INFO - Планировщик уведомлений остановлен
2025-09-28 15:51:14,726 - aiogram.dispatcher - INFO - Polling stopped for bot @DestinyDecoderBot id=7651594720 - 'ezoteric-bot-[DEV]'
2025-09-28 15:51:17,014 - __main__ - INFO - Обработчики зарегистрированы
2025-09-28 15:51:17,259 - __main__ - INFO - Бот запущен!
2025-09-28 15:51:17,500 - __main__ - INFO - Планировщик уведомлений запущен
2025-09-28 15:51:17,500 - __main__ - ERROR - Ошибка при запуске бота: 'UserStorage' object has no attribute 'cleanup_old_data'
2025-09-28 15:51:17,501 - aiogram.dispatcher - INFO - Start polling
2025-09-28 15:51:17,501 - scheduler - INFO - Планировщик уведомлений запущен (время отправки: 9:00)
